Adresse;StimmArt;Bezirk;Bezirksname;WBezArt;Wahlbezirk;Briefwahlbezirk;AghWkr;BunWkr;OstWest;Datum;Zeit;WberIns;WberA1;WberA1p;WberA2;WberA2p;WberA3;WberA3p;Waehler;Waehlerp;Wahlsch;Wahlschp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p;P43;P43p;P44;P44p;P45;P45p;P46;P46p;P47;P47p;P48;P48p;P49;P49p;P50;P50p;P51;P51p;P52;P52p;P53;P53p;P54;P54p;P55;P55p;P56;P56p;P57;P57p;P58;P58p;P59;P59p;P60;P60p;aufn;Hinweis
01W100;2;01;*Mitte;W;100;011A;01;75;W;24.02.12;01:18:13;1639;1112;67,8;527;32,2;0;0,0;287;17,5;0;0,0;284;99,0;3;1,0;40;14,1;21;7,4;54;19,0;95;33,5;25;8,8;25;8,8;7;2,5;5;1,8;0;0,0;0;0,0;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;6;2,1;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W101;2;01;*Mitte;W;101;011B;01;75;O;24.02.12;01:18:13;971;623;64,2;348;35,8;0;0,0;270;27,8;0;0,0;266;98,5;4;1,5;54;20,3;20;7,5;30;11,3;105;39,5;19;7,1;22;8,3;1;0,4;5;1,9;1;0,4;1;0,4;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,4;6;2,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W102;2;01;*Mitte;W;102;011B;01;75;O;24.02.12;01:18:13;1223;826;67,5;397;32,5;0;0,0;279;22,8;0;0,0;278;99,6;1;0,4;46;16,5;41;14,7;43;15,5;70;25,2;33;11,9;17;6,1;4;1,4;9;3,2;3;1,1;1;0,4;3;1,1;0;0,0;0;0,0;1;0,4;0;0,0;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,4;1;0,4;4;1,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W103;2;01;*Mitte;W;103;011C;01;75;O;24.02.12;01:17:01;1048;449;42,8;599;57,2;0;0,0;330;31,5;0;0,0;329;99,7;1;0,3;36;10,9;19;5,8;59;17,9;112;34,0;15;4,6;64;19,5;3;0,9;4;1,2;4;1,2;0;0,0;1;0,3;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;3;0,9;7;2,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
01W104;2;01;*Mitte;W;104;011D;01;75;O;24.02.12;01:17:01;1321;642;48,6;679;51,4;0;0,0;525;39,7;0;0,0;520;99,0;5;1,0;54;10,4;54;10,4;96;18,5;203;39,0;20;3,8;66;12,7;4;0,8;4;0,8;2;0,4;0;0,0;4;0,8;3;0,6;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,4;7;1,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
01W105;2;01;*Mitte;W;105;011D;01;75;O;24.02.12;01:17:01;1045;579;55,4;466;44,6;0;0,0;436;41,7;0;0,0;429;98,4;7;1,6;51;11,9;63;14,7;95;22,1;136;31,7;24;5,6;40;9,3;5;1,2;2;0,5;3;0,7;0;0,0;3;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;6;1,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
01W106;2;01;*Mitte;W;106;011E;01;75;O;24.02.12;01:18:13;1455;962;66,1;493;33,9;0;0,0;393;27,0;0;0,0;390;99,2;3;0,8;87;22,3;63;16,2;65;16,7;104;26,7;27;6,9;26;6,7;5;1,3;3;0,8;1;0,3;0;0,0;1;0,3;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;2;0,5;4;1,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W107;2;01;*Mitte;W;107;011F;01;75;O;24.02.12;01:18:13;1086;790;72,7;296;27,3;0;0,0;309;28,5;0;0,0;307;99,4;2;0,6;44;14,3;37;12,1;44;14,3;110;35,8;34;11,1;26;8,5;4;1,3;1;0,3;1;0,3;1;0,3;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W108;2;01;*Mitte;W;108;011E;01;75;O;24.02.12;01:18:13;1075;724;67,3;351;32,7;0;0,0;233;21,7;0;0,0;231;99,1;2;0,9;52;22,5;36;15,6;28;12,1;56;24,2;28;12,1;17;7,4;2;0,9;5;2,2;1;0,4;0;0,0;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;3;1,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,4;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W109;2;01;*Mitte;W;109;011G;01;75;W;24.02.12;01:18:13;1090;859;78,8;231;21,2;0;0,0;206;18,9;0;0,0;203;98,5;3;1,5;43;21,2;25;12,3;33;16,3;35;17,2;37;18,2;8;3,9;4;2,0;9;4,4;3;1,5;1;0,5;1;0,5;0;0,0;1;0,5;1;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,5;0;0,0;1;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W110;2;01;*Mitte;W;110;011G;01;75;W;24.02.12;01:17:02;1247;867;69,5;380;30,5;0;0,0;445;35,7;0;0,0;444;99,8;1;0,2;66;14,9;57;12,8;61;13,7;198;44,6;30;6,8;18;4,1;6;1,4;4;0,9;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W111;2;01;*Mitte;W;111;011H;01;75;O;24.02.12;01:17:02;1041;521;50,0;520;50,0;0;0,0;427;41,0;0;0,0;424;99,3;3;0,7;40;9,4;51;12,0;92;21,7;150;35,4;14;3,3;54;12,7;8;1,9;3;0,7;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;4;0,9;5;1,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
01W112;2;01;*Mitte;W;112;011F;01;75;O;24.02.12;01:17:02;1175;836;71,1;339;28,9;0;0,0;373;31,7;0;0,0;366;98,1;7;1,9;46;12,6;52;14,2;49;13,4;148;40,4;26;7,1;10;2,7;13;3,6;7;1,9;2;0,5;1;0,3;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;3;0,8;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;1;0,3;2;0,5;4;1,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W113;2;01;*Mitte;W;113;011I;01;75;O;24.02.12;01:17:02;1471;1068;72,6;403;27,4;0;0,0;509;34,6;0;0,0;504;99,0;5;1,0;51;10,1;59;11,7;83;16,5;214;42,5;43;8,5;24;4,8;8;1,6;4;0,8;1;0,2;1;0,2;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;1;0,2;0;0,0;0;0,0;2;0,4;2;0,4;9;1,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;Teilwiederholungswahl 2024
01W114;2;01;*Mitte;W;114;011H;01;75;O;24.02.12;01:17:02;1475;810;54,9;665;45,1;0;0,0;639;43,3;0;0,0;632;98,9;7;1,1;43;6,8;85;13,4;121;19,1;251;39,7;24;3,8;52;8,2;15;2,4;4;0,6;4;0,6;1;0,2;6;0,9;0;0,0;1;0,2;2;0,3;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,6;9;1,4;9;1,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;;
